Scheme_Name	Net_Asset_Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	112.3136
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	114.5767
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	113.252
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	158.9088
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	111.2711
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	110.0961
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	111.13
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	112.8962
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	314.5365
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	472.1597
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	324.146
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1215
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2328.4947
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1034.4480
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1039.5175
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1126
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2271.4193
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1034.3739
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1039.4821
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.1324
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4768
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4751
BANDHAN Banking & PSU Debt Fund - Direct Growth	21.7412
BANDHAN Banking & PSU Debt Fund - Direct IDCW	11.4370
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4365
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	10.8948
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.1810
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8788
